Polska nazwa,Angielska nazwa,Interakcje
Abakawir,Abacavir,"Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o około 41%). Jednakże obserwacje te nie zostały uznane za kliniczne istotne. Abakawir natomiast nie ma wpływu na metabolizm alkoholu.
"
Abakawir,Abacavir,"Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o około 41%). Jednakże obserwacje te nie zostały uznane za kliniczne istotne. Abakawir natomiast nie ma wpływu na metabolizm alkoholu.
Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o około 41%). Jednakże obserwacje te nie zostały uznane za kliniczne istotne. Abakawir natomiast nie ma wpływu na metabolizm alkoholu.
"
Abakawir,Abacavir,"Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o około 41%). Jednakże obserwacje te nie zostały uznane za kliniczne istotne. Abakawir natomiast nie ma wpływu na metabolizm alkoholu.
Metabolizm abakawiru ulega zmianie w czasie jednoczesnego przyjmowania alkoholu (AUC substancji wzrasta o około 41%). Jednakże obserwacje te nie zostały uznane za kliniczne istotne. Abakawir natomiast nie ma wpływu na metabolizm alkoholu.
W kontrolowanych badaniach klinicznych niezbyt często występowały nieprawidłowe wyniki badań laboratoryjnych. Nie wykazano różnić w częstości ich występowania pomiędzy grupą leczoną abakawirem, a grupą kontrolną. 
"
Abatacept,Abatacept,"Nie należy prowadzić pojazdów mechanicznych i obsługiwać maszyn w przypadku wystąpienia działań niepożądanych takich jak zawroty głowy, utrudnione widzenie czy też mniejsza ostrość widzenia w trakcie stosowania abataceptu.
"
Abatacept,Abatacept,"Nie należy prowadzić pojazdów mechanicznych i obsługiwać maszyn w przypadku wystąpienia działań niepożądanych takich jak zawroty głowy, utrudnione widzenie czy też mniejsza ostrość widzenia w trakcie stosowania abataceptu.
Nie zalecane jest podawanie żywej szczepionki w trakcie oraz po leczeniu abataceptem przez okres 3 miesięcy od zakończenia leczenia lekiem. Jest to związane ze potencjalnie mniejszą skutecznością odpowiedzi immunologicznej zastosowanej szczepionki.
"
Abcyksymab,Abciximab,"Abcyksymab ma nieistotny wpływ na zdolność prowadzenia pojazdów oraz obsługę maszyn. 
"
Abirateron,Abiraterone,"Zaobserwowano, że jedzenie znacząco zwiększa wchłanianie substancji czynnej. Ze względu na to, że nie ma danych klinicznych dotyczących bezpieczeństwa stosowania abirateronu z pożywieniem, łączne stosowanie jest przeciwwskazane.
"
Abirateron,Abiraterone,"Zaobserwowano, że jedzenie znacząco zwiększa wchłanianie substancji czynnej. Ze względu na to, że nie ma danych klinicznych dotyczących bezpieczeństwa stosowania abirateronu z pożywieniem, łączne stosowanie jest przeciwwskazane.
Zaobserwowano, że jedzenie znacząco zwiększa wchłanianie substancji czynnej. Ze względu na to, że nie ma danych klinicznych dotyczących bezpieczeństwa stosowania abirateronu z pożywieniem, łączne stosowanie jest przeciwwskazane.
"
Abirateron,Abiraterone,"Zaobserwowano, że jedzenie znacząco zwiększa wchłanianie substancji czynnej. Ze względu na to, że nie ma danych klinicznych dotyczących bezpieczeństwa stosowania abirateronu z pożywieniem, łączne stosowanie jest przeciwwskazane.
Zaobserwowano, że jedzenie znacząco zwiększa wchłanianie substancji czynnej. Ze względu na to, że nie ma danych klinicznych dotyczących bezpieczeństwa stosowania abirateronu z pożywieniem, łączne stosowanie jest przeciwwskazane.
Łączne stosowanie abirateronu z dziurawcem zwyczajnym – silnym induktorem CYP3A4 – może skutkować zmniejszeniem średniego AUC substancji czynnej w osoczu nawet o połowę.
"
Acebutolol,Acebutolol,"Acebutolol nie ma znanych interakcji z pożywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiłku.
"
Acebutolol,Acebutolol,"Acebutolol nie ma znanych interakcji z pożywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiłku.
Acebutolol nie ma znanych interakcji z pożywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiłku.
"
Acebutolol,Acebutolol,"Acebutolol nie ma znanych interakcji z pożywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiłku.
Acebutolol nie ma znanych interakcji z pożywieniem, a nawet zalecane jest jego przyjmowanie w trakcie posiłku.
Stosując acebutolol powinno sie zachować ostrożnośc przy podawaniu środków znieczulających (eter, cyklopropan i trichloroetylen),które wywołują depresję mięśnia sercowego.
"
Aceklofenak,Aceclofenac,"NLPZ nie należy łączyć z alkoholem z powodu niebezpieczeństwa uszkodzenia błony śluzowej żołądka .
"
Aceklofenak,Aceclofenac,"NLPZ nie należy łączyć z alkoholem z powodu niebezpieczeństwa uszkodzenia błony śluzowej żołądka .
NLPZ nie należy łączyć z alkoholem z powodu niebezpieczeństwa uszkodzenia błony śluzowej żołądka .
"
